Precision,Recall
0.0,1.0
0.010101010101010107,1.0
0.020202020202020214,1.0
0.030303030303030696,1.0
0.04040404040404043,1.0
0.05050505050505088,1.0
0.06060606060606139,1.0
0.07070707070707029,1.0
0.08080808080808086,1.0
0.09090909090909147,1.0
0.10101010101010176,1.0
0.11111111111111226,1.0
0.12121212121212278,1.0
0.13131313131312985,1.0
0.14141414141414058,1.0
0.15151515151515121,1.0
0.1616161616161617,1.0
0.17171717171717235,1.0
0.18181818181818293,1.0
0.19191919191919293,1.0
0.20202020202020352,1.0
0.2121212121212141,1.0
0.2222222222222245,1.0
0.23232323232323507,1.0
0.24242424242424557,1.0
0.2525252525252491,1.0
0.2626262626262597,1.0
0.27272727272727043,1.0
0.28282828282828115,1.0
0.2929292929292918,1.0
0.30303030303030243,1.0
0.31313131313131315,1.0
0.3232323232323234,1.0
0.33333333333333404,1.0
0.3434343434343447,1.0
0.3535353535353552,1.0
0.36363636363636587,1.0
0.3737373737373765,1.0
0.38383838383838587,1.0
0.3939393939393965,1.0
0.40404040404040703,1.0
0.41414141414141753,1.0
0.4242424242424282,1.0
0.43434343434343875,1.0
0.444444444444449,1.0
0.45454545454545964,1.0
0.46464646464647014,1.0
0.47474747474748064,1.0
0.48484848484849113,1.0
0.4949494949495017,0.999992673992674
0.5050505050504982,0.9999816849816852
0.5151515151515084,0.9999415750915757
0.5252525252525194,0.9999232600732609
0.5353535353535288,0.9998940255946598
0.5454545454545409,0.999863005981362
0.5555555555555494,0.9998520401539406
0.5656565656565623,0.9998301877167488
0.5757575757575697,0.9998066540988588
0.5858585858585836,0.9997812675128712
0.5959595959595902,0.9997540714709072
0.6060606060606049,0.9997161843697292
0.6161616161616108,0.9996799529687913
0.6262626262626263,0.9996293008092875
0.6363636363636307,0.9995911943943968
0.6464646464646469,0.9995532388802283
0.6565656565656514,0.9995007152271596
0.6666666666666681,0.9994374373181094
0.6767676767676719,0.9993779065819521
0.6868686868686894,0.9993362243092309
0.6969696969696924,0.9992800333304918
0.7070707070707104,0.9991937667961676
0.717171717171713,0.9991288388038305
0.7272727272727317,0.9990584791520185
0.7373737373737337,0.9989429282727186
0.747474747474753,0.9988235640471564
0.7575757575757519,0.9986918252847908
0.7676767676767717,0.998546872897714
0.7777777777777726,0.9983845724046373
0.787878787878793,0.9982037173940348
0.7979797979797933,0.9980047648828708
0.8080808080808141,0.9977935899591247
0.8181818181818139,0.9975480884078471
0.8282828282828351,0.9973080942347732
0.8383838383838347,0.9970555366000502
0.8484848484848564,0.9968135810541562
0.8585858585858553,0.996547903652366
0.8686868686868775,0.9962153097878608
0.8787878787878757,0.9957677126840729
0.888888888888898,0.9952907857841753
0.8989898989898965,0.994650347443716
0.9090909090909193,0.9938313763133315
0.9191919191919171,0.9927067177944957
0.9292929292929403,0.991078710658299
0.9393939393939378,0.9892391308212339
0.9494949494949613,0.9871509910322401
0.9595959595959586,0.9839185200226603
0.9696969696969823,0.9795829472677654
0.9797979797979793,0.97260455679768
0.9898989898990034,0.9515372277069075
1.0,0.0
